Grant_No,Dep_Name,Total_Budget,Prg_Sanction,Prg_Allotment,Expenditure_May,Provisional_Current_Month_Expenditure_June,Total_Expenditure_June,%of Exp./Bud.,%of Exp./Alt.
1,आबकारी विभाग,3375814000,3375814000,1847953000,362304408,3551702,365856110,10.84,19.8
2,आवास विभाग,33517933000,3732354000,3587758700,337268382,1962834,339231216,1.01,9.46
3,उद्योग विभाग (लघु उद्योग एवं निर्यात प्रोत्साहन),8835645000,1910524000,560567440,175650003,1360052,177010055,2,31.58
4,उद्योग विभाग (खानें और खनिज),599955000,559455000,559455000,66652818,101060,66753878,11.13,11.93
5,उद्योग विभाग (खादी एवं ग्रामोद्योग),1081251000,628922000,527922000,123128197,13447,123141644,11.39,23.33
6,उद्योग विभाग (हथकरघा उद्योग),3438433000,325726000,240492400,52019537,168440,52187977,1.52,21.7
7,उद्योग विभाग (भारी एवं मध्यम उद्योग),1.53E+11,17916517390,18525913390,15618424356,1000000,15619424356,10.24,84.31
8,उद्योग विभाग (मुद्रण तथा लेखन सामग्री ),2117221000,2117221000,2055426000,220635712,43200,220678912,10.42,10.74
9,ऊर्जा विभाग,3.77E+11,66617255052,57971379620,30694533318,7600528157,38295061475,10.17,66.06
10,कृषि तथा अन्य सम्बद्ध विभाग (औद्यानिक एवं रेशम विकास),12154808000,3250259000,1975207400,299276401,1872855,301149256,2.48,15.25
11,कृषि तथा अन्य सम्बद्ध विभाग (कृषि),63152512000,16189885000,11180573400,1697460942,139914238,1837375180,2.91,16.43
12,कृषि तथा अन्य सम्बद्ध विभाग (भूमि विकास एवं जल संसाधन),7408612000,350405000,350405000,139947760,47150,139994910,1.89,39.95
13,कृषि तथा अन्य सम्बद्ध विभाग (ग्राम्य विकास),1.74E+11,25801494000,20450104978,9766286104,110055858,9876341962,5.69,48.29
14,कृषि तथा अन्य सम्बद्ध विभाग (पंचायती राज),1.33E+11,52208942000,32421634090,19724389998,43397579,19767787577,14.9,60.97
15,कृषि तथा अन्य सम्बद्ध विभाग ((पशुधन),20609654000,12582088300,5558536884,1998526539,3892476,2002419015,9.72,36.02
16,कृषि तथा अन्य सम्बद्ध विभाग (दुग्धशाला विकास),2031237000,327066000,194195000,51653975,0,51653975,2.54,26.6
17,कृषि तथा अन्य सम्बद्ध विभाग (मत्स्य),3610321000,1096799000,463855000,97712418,1224911,98937329,2.74,21.33
18,कृषि तथा अन्य सम्बद्ध विभाग (सहकारिता),8942253000,2003413000,1325172353,265681510,91290,265772800,2.97,20.06
19,कार्मिक विभाग (प्रशिक्षण तथा अन्य व्यय),510603000,79544000,79544000,15289859,0,15289859,2.99,19.22
20,कार्मिक विभाग (लोक सेवा आयोग ),2312061000,2288917000,2288917000,158004100,1306357,159310457,6.89,6.96
21,खाद्य तथा रसद विभाग,1.81E+11,86761201000,21363470570,5462682021,539047267,6001729288,3.32,28.09
22,खेल विभाग,2547569000,1473950000,308730492,86835035,1769932,88604967,3.48,28.7
23,गन्ना विकास विभाग (गन्ना),2918808000,2528880000,1040009699,308206126,486028,308692154,10.58,29.68
24,गन्ना विकास विभाग (चीनी उद्योग),7276187000,6054128000,5704131092,25775663,5250000000,5275775663,72.51,92.49
25,गृह विभाग (कारागार),12045098000,8707785000,4894855518,1281510925,42295957,1323806882,10.99,27.04
26,गृह विभाग (पुलिस),3.02E+11,2.72E+11,1.51E+11,38022965050,347128457,38370093507,12.7,25.36
27,गृह विभाग (नागरिक सुरक्षा),231544000,231541000,157003500,27569752,8601,27578353,11.91,17.57
28,गृह विभाग (राजनैतिक पेंशन तथा अन्य व्यय),3690484000,3683030000,2860460154,462695653,44670744,507366397,13.75,17.74
29,गोपन विभाग (राज्यपाल सचिवालय),233436000,233436000,233436000,30029226,56956,30086182,12.89,12.89
30,गोपन विभाग(राजस्व विशिष्ट अभिसूचना निदेशालय तथा अन्य व्यय),70060000,67060000,53060000,13840914,2500000,16340914,23.32,30.8
31,"चिकित्सा विभाग (चिकित्सा, शिक्षा एवं प्रशिक्षण)",87107273000,35267420805,31160567992,6727267417,194789702,6922057119,7.95,22.21
32,चिकित्सा विभाग (एलोपैथी चिकित्सा),1.04E+11,77814901000,44254054820,7955406850,312274188,8267681038,7.92,18.68
33,चिकित्सा विभाग (आयुर्वेदिक एवं यूनानी चिकित्सा),13658459000,10731324000,6934130000,1181355235,7928155,1189283390,8.71,17.15
34,चिकित्सा विभाग (होम्योपैथी चिकित्सा),5677099000,5066482000,3439491000,598585212,5111217,603696429,10.63,17.55
35,चिकित्सा विभाग (परिवार कल्याण),87412215000,25995751000,17004908700,2433333139,7767092,2441100231,2.79,14.36
